date,open,high,low,close,volume,trading_value,change_rate,individual_net,foreign_net,institution_net,pension_net,trust_net,privateequity_net,insurance_net,bank_net,financial_net,other_corp_net,other_foreign_net,other_finance_net
2016-05-26,12800,12800,12600,12600,19444,244994400,-1.1765,6323,755,-7075,6800,-12210,0,128,0,-1793,-3,0,0
2016-05-27,12700,12750,12600,12700,12662,160807400,0.7937,3710,2397,-6101,0,-3165,0,61,0,59,-6,0,-3056
2016-05-30,12700,12750,12550,12600,13080,164808000,-0.7874,-2604,2606,0,0,0,0,0,0,0,-2,0,0
2016-05-31,12650,12700,12450,12700,25277,321017900,0.7937,-9320,7010,2320,4421,-159,-2143,201,0,0,-10,0,0
2016-06-01,12700,12750,12600,12750,15090,192397500,0.3937,-9003,2442,5764,1300,5561,0,315,0,-1412,797,0,0
2016-06-02,12800,12950,12700,12700,39249,498462300,-0.3922,10415,7228,-17641,-6831,-4496,0,210,-6532,8,-2,0,0
2016-06-03,12700,12800,12550,12700,32101,407682700,0.0,2599,6425,-7019,-6831,225,-67,166,0,-512,-2005,0,0
2016-06-07,12650,12750,12600,12700,22445,285051500,0.0,922,10237,-8887,-5848,-1578,0,-1218,-20,-223,-2272,0,0
2016-06-08,12700,12700,12450,12550,55214,692935700,-1.1811,27481,3830,-31677,-3000,-28221,0,-58,0,-398,366,0,0
2016-06-09,12500,12550,12400,12500,33956,424450000,-0.3984,20637,-1285,-19348,-1090,-21096,1621,-34,-16,1267,-4,0,0
2016-06-10,12500,12600,12450,12600,23991,302286600,0.8,9558,-557,-8993,4659,-13708,0,41,-19,34,-8,0,0
2016-06-13,12550,12550,12400,12500,17638,220475000,-0.7937,5530,146,-5669,1500,-7982,-275,878,0,210,-7,0,0
2016-06-14,12400,12600,12400,12600,19841,249996600,0.8,-2191,-1118,5754,2000,1096,0,366,0,2292,-2445,0,0
2016-06-15,12600,12600,12500,12550,7924,99446200,-0.3968,-2033,-832,2856,0,842,1988,-39,30,35,9,0,0
2016-06-16,12550,12600,12400,12450,7657,95329650,-0.7968,-806,-1572,2376,1595,439,0,-47,0,389,2,0,0
2016-06-17,12400,12600,12400,12600,28909,364253400,1.2048,-9499,5002,4503,0,2634,1607,-9,0,271,-6,0,0
2016-06-20,12600,12750,12550,12700,22262,282727400,0.7937,-12164,5930,6241,0,559,0,67,0,5615,-7,0,0
2016-06-21,12700,12900,12650,12850,25248,324436800,1.1811,-3630,7698,-4050,0,-3139,-2934,-10,0,2033,-35,17,0
2016-06-22,12850,12900,12750,12750,24996,318699000,-0.7782,-1381,7910,-6576,0,-7772,-2030,527,0,2699,17,30,0
2016-06-23,12750,12900,12700,12900,17202,221905800,1.1765,-9797,4459,5348,0,0,0,790,61,4497,-10,0,0
2016-06-24,12900,12900,12550,12750,60191,767435250,-1.1628,-14263,9436,4862,5000,0,122,1725,0,-1985,-35,0,0
2016-06-27,12550,12700,12400,12700,26126,331800200,-0.3922,-8735,2359,6425,0,6505,0,-471,0,391,-49,0,0
2016-06-28,12700,13150,12700,13050,75276,982351800,2.7559,-18760,16136,1721,-1400,-2963,0,873,61,5150,903,0,0
2016-06-29,13100,13400,13050,13300,66509,884569700,1.9157,-18242,16282,1907,-500,2718,-1500,960,-31,260,-57,110,0
2016-06-30,13350,13700,13300,13500,80943,1092730500,1.5038,-5776,17291,-11903,-9044,-3004,0,-113,457,-199,188,200,0
2016-07-01,13550,13600,13350,13550,25782,349346100,0.3704,2782,-2437,-21,0,1384,-1560,-600,765,-10,-224,-100,0
2016-07-04,13500,13600,13400,13400,20737,277875800,-1.107,-4259,4273,-25,0,12,0,-91,0,54,11,0,0
2016-07-05,13400,13500,13200,13250,37745,500121250,-1.1194,-3915,8649,-3540,-5010,1431,0,0,0,39,-894,-300,0
2016-07-06,13200,13400,13100,13200,37406,493759200,-0.3774,-3299,4294,-696,-2754,758,0,510,0,790,-299,0,0
2016-07-07,13300,13400,13000,13250,35487,470202750,0.3788,-5902,6868,-166,0,66,0,-232,0,0,-801,1,0
2016-07-08,13250,13400,13000,13100,27375,358612500,-1.1321,-4212,3799,44,0,50,13,-7,0,-12,369,0,0
2016-07-11,13150,13300,13100,13250,18152,240514000,1.145,-6421,2493,3041,3000,94,0,-13,0,-40,887,0,0
2016-07-12,13250,13300,13150,13300,8474,112704200,0.3774,-2090,1411,689,0,0,0,-15,720,-16,-10,0,0
2016-07-13,13300,13550,13200,13350,37239,497140650,0.3759,-1822,5292,-3167,-1000,-2923,1248,-479,0,-13,-303,0,0
2016-07-14,13350,13350,13200,13250,17368,230126000,-0.7491,1847,120,-2097,-1500,-478,0,-10,-60,-49,130,0,0
2016-07-15,13300,13350,13050,13300,31799,422926700,0.3774,870,6317,-7935,-1029,-4546,-2348,-12,0,0,748,0,0
2016-07-18,13300,13350,13150,13300,11812,157099600,0.0,-2612,1751,-631,0,-732,0,-17,118,0,1492,0,0
2016-07-19,13300,13500,13250,13400,23661,317057400,0.7519,-15900,2223,13963,6690,3304,2474,-68,-68,1631,-286,0,0
2016-07-20,13450,13500,13300,13450,16256,218643200,0.3731,-10265,1790,8552,6690,-1070,1470,465,0,997,-77,0,0
2016-07-21,13500,13900,13450,13900,63588,883873200,3.3457,-15049,2044,11931,6690,4565,64,112,0,500,1071,3,0
2016-07-22,13950,14250,13900,14150,53182,752525300,1.7986,-9662,4729,5054,0,0,0,0,54,5000,-117,-4,0
2016-07-25,14150,14200,13900,14000,30699,429786000,-1.0601,830,-190,-217,711,-980,-191,-43,0,286,-423,0,0
2016-07-26,13950,14150,13950,14050,15987,224617350,0.3571,-1053,1304,-241,0,0,0,-240,0,-1,-10,0,0
2016-07-27,14000,14200,13950,13950,16853,235099350,-0.7117,1809,360,-1982,0,-2086,0,119,0,-15,-187,0,0
2016-07-28,13900,14000,13850,13900,13700,190430000,-0.3584,754,1290,-1804,0,-1822,0,45,-42,15,-240,0,0
2016-07-29,13900,14000,13850,13950,18440,257238000,0.3597,-13002,298,12715,0,5068,7717,-100,30,0,-10,-1,0
2016-08-01,13950,14300,13900,14100,29552,416683200,1.0753,-6950,3548,2835,0,2212,723,-368,-13,281,567,0,0
2016-08-02,14050,14500,14050,14350,37579,539258650,1.773,-8812,-1327,10287,4523,-297,169,5914,-23,1,-148,0,0
2016-08-03,14350,14500,14150,14400,20242,291484800,0.3484,-8298,-739,9401,0,-498,1212,5072,0,3615,-364,0,0
2016-08-04,14350,14600,14350,14450,30224,436736800,0.3472,-17706,698,16983,0,0,7881,5730,0,3372,25,0,0
2016-08-05,14500,14700,14400,14600,33986,496195600,1.0381,-8204,2555,5852,0,2286,0,3566,0,0,-203,0,0
2016-08-08,14600,14750,14050,14500,49024,710848000,-0.6849,-11802,6814,4914,0,-15,2616,1367,0,946,23,51,0
2016-08-09,14500,14600,14250,14450,13370,193196500,-0.3448,-2599,3189,-546,0,-524,-669,662,0,-15,7,-51,0
2016-08-10,14500,14600,14150,14300,32447,463992100,-1.0381,-7094,8405,-1328,-1410,50,0,-15,39,8,17,0,0
2016-08-11,14300,14400,14150,14350,19154,274859900,0.3497,-6006,2131,2515,-856,4514,0,-936,-87,-120,1360,0,0
2016-08-12,14350,14400,14150,14200,12904,183236800,-1.0453,-2402,3110,-1713,0,-416,0,-1096,-28,-173,1005,0,0
2016-08-16,14250,14300,13700,13700,39097,535628900,-3.5211,779,790,-1574,0,-200,0,-1293,-74,-7,5,0,0
2016-08-17,13750,13850,13200,13300,81308,1081396400,-2.9197,-15325,16659,-2239,-5000,-264,3292,-179,-105,17,908,-3,0
2016-08-18,13400,13850,13300,13850,37291,516480350,4.1353,-4300,5889,-4280,-3744,-168,238,-590,-16,0,2691,0,0
2016-08-19,13900,13950,13700,13950,25130,350563500,0.722,-10581,-3585,8389,3857,730,3429,172,-15,216,5777,0,0
2016-08-22,13950,13950,13500,13600,17696,240665600,-2.509,2481,-2609,608,0,35,763,-248,-57,115,-480,0,0
2016-08-23,13650,13800,13450,13750,13996,192445000,1.1029,-1670,-3406,5057,6628,-100,0,-1492,0,21,19,0,0
2016-08-24,13800,13850,13600,13800,12302,169767600,0.3636,-5086,-19,5102,5939,-522,0,-399,-16,100,3,0,0
2016-08-25,13800,13850,13650,13850,10065,139400250,0.3623,-4899,-2026,6918,6554,81,0,286,-215,212,7,0,0
2016-08-26,13800,14300,13700,14150,27109,383592350,2.1661,-11306,-391,11839,6331,6097,-72,-419,-98,0,-142,0,0
2016-08-29,14250,14250,13900,14100,16007,225698700,-0.3534,-4837,-4872,9709,0,9530,0,0,0,179,0,0,0
2016-08-30,14100,14250,13950,14000,4496,62944000,-0.7092,-911,391,454,0,0,129,108,0,217,66,0,0
2016-08-31,13900,14200,13900,14200,14244,202264800,1.4286,-6059,2559,3763,0,3392,0,308,-59,122,-263,0,0
2016-09-01,14200,14200,14000,14100,8358,117847800,-0.7042,-1648,-724,2358,0,1872,-122,646,-19,-19,0,14,0
2016-09-02,14250,14250,13950,14150,8569,121251350,0.3546,-1404,-2020,3425,0,-198,3736,-114,0,1,-1,0,0
2016-09-05,14050,14200,13950,14200,11832,168014400,0.3534,-4225,1727,2522,0,-1020,3736,-188,0,-6,-24,0,0
2016-09-06,14250,14300,14050,14250,14997,213707250,0.3521,145,-4204,5058,3000,-702,3408,-261,-187,-200,-999,0,0
2016-09-07,14100,14300,14100,14250,16255,231633750,0.0,-2810,-3193,8072,3000,-1195,3152,-265,-24,3404,-2069,0,0
2016-09-08,14250,14250,14000,14250,13279,189225750,0.0,-5073,-1114,7047,0,3088,2975,1425,-422,-19,-860,0,0
2016-09-09,14250,14350,13950,14200,18188,258269600,-0.3509,-6020,-1757,8293,5067,159,3434,-239,-128,0,-516,0,0
2016-09-12,14150,14250,14050,14250,17732,252681000,0.3521,-12619,135,12484,6216,844,3426,1286,0,712,0,0,0
2016-09-13,14300,14300,13950,13950,22918,319706100,-2.1053,11350,-15085,4596,0,1363,3186,-389,0,436,-861,0,0
2016-09-19,14100,14100,13650,13750,29219,401761250,-1.4337,-2424,1293,1085,2000,-3029,3378,-1264,0,0,46,0,0
2016-09-20,13850,14000,13800,13950,10694,149181300,1.4545,174,1644,-817,0,-810,0,-7,0,0,-1001,0,0
2016-09-21,13850,13950,13550,13750,28441,391063750,-1.4337,6226,400,-4626,-8000,282,-2275,585,4000,782,-2000,0,0
2016-09-22,13650,13900,13650,13850,22331,309284350,0.7273,-368,4201,-3834,0,681,-3779,12,0,-748,1,0,0
2016-09-23,13850,13900,13600,13750,26502,364402500,-0.722,-3089,2231,857,4000,0,0,-3143,0,0,1,0,0
2016-09-26,13750,13750,13500,13700,13589,186169300,-0.3636,-2730,1416,1322,0,608,0,-50,0,764,-8,0,0
2016-09-27,13600,13750,13600,13750,7899,108611250,0.365,1041,954,-1989,0,-1500,0,-514,-25,50,-6,0,0
2016-09-28,13650,13750,13500,13700,21226,290796200,-0.3636,-4397,2252,2220,0,57,2798,-599,-57,21,-75,0,0
2016-09-29,13700,13750,13550,13750,7065,97143750,0.365,795,308,-1103,-1853,150,0,561,0,39,0,0,0
2016-09-30,13750,13750,13550,13700,18535,253929500,-0.3636,-1977,-3672,5653,3543,-128,2384,69,-237,22,-4,0,0
2016-10-04,13700,13850,13600,13700,15833,216912100,0.0,-9309,5740,3572,4324,192,0,-920,-24,0,-3,0,0
2016-10-05,13700,13800,13600,13750,9731,133801250,0.365,-2399,-196,2498,-1000,13,0,3678,-19,-174,97,0,0
2016-10-06,13750,14100,13650,14100,28970,408477000,2.5455,-10174,4408,5808,0,3635,-2210,4610,0,-227,-42,0,0
2016-10-07,13950,14200,13950,14050,16568,232780400,-0.3546,-8771,426,8352,-1993,6481,240,3591,-55,88,3,-10,0
2016-10-10,14050,14250,13950,14100,9821,138476100,0.3559,387,-2035,1646,-2007,-24,3339,333,-105,110,2,0,0
2016-10-11,14100,14250,13900,14100,23092,325597200,0.0,1370,-2517,2539,0,1438,1530,-683,0,254,-1303,-89,0
2016-10-12,13950,14100,13950,14100,8709,122796900,0.0,-396,-2194,3421,0,24,1715,1656,0,26,-813,-18,0
2016-10-13,14100,14100,13700,13750,23975,329656250,-2.4823,4925,-9026,5464,0,264,5200,0,0,0,-1312,-51,0
2016-10-14,13850,13900,13650,13850,15043,208345550,0.7273,4886,-8283,3399,0,3,3396,0,0,0,-2,0,0
2016-10-17,13750,13850,13600,13750,19111,262776250,-0.722,4770,-9863,5092,0,493,5537,-923,-30,15,1,0,0
2016-10-18,13650,13850,13650,13800,10889,150268200,0.3636,-335,-5134,5620,0,3095,2422,375,0,-272,-151,0,0
2016-10-19,13800,13950,13750,13850,15228,210907800,0.3623,-2860,-4525,7387,0,713,63,5895,-97,813,-2,0,0
2016-10-20,13850,14000,13800,13950,21987,306718650,0.722,-7396,-1948,9343,0,9029,484,503,-29,-644,1,0,0
2016-10-21,14000,14000,13550,13850,96843,1341275550,-0.7168,15846,-25704,8857,4735,1138,2636,348,0,0,1001,0,0
2016-10-24,13800,13950,13650,13750,27544,378730000,-0.722,2122,-6815,4692,-5956,7498,3524,-491,-27,144,1,0,0
2016-10-25,13750,13850,13650,13750,11655,160256250,0.0,-2134,-4307,6440,0,11,3736,2692,0,1,1,0,0
2016-10-26,13750,13850,13350,13500,43859,592096500,-1.8182,-2241,-965,3206,5000,0,-2160,168,-20,218,0,0,0
2016-10-27,13500,13800,13500,13700,14526,199006200,1.4815,-4941,-790,5730,5000,730,0,0,0,0,1,0,0
2016-10-28,13650,13800,13600,13600,6208,84428800,-0.7299,-563,-2151,2714,0,286,0,1222,0,1206,0,0,0
2016-10-31,13450,13750,13450,13550,24590,333194500,-0.3676,-10359,-3609,13967,3335,11050,0,-427,0,9,1,0,0
2016-11-01,13750,13750,13400,13650,11880,162162000,0.738,-129,2501,-2322,-3010,0,0,673,-18,33,-50,0,0
2016-11-02,13650,13650,13350,13600,24062,327243200,-0.3663,-2958,-2372,5330,-4112,1362,4401,-1049,0,4728,0,0,0
2016-11-03,13400,13750,13400,13500,29701,400963500,-0.7353,-10225,-1392,11617,-3821,1167,29,4495,-23,9770,0,0,0
2016-11-04,13550,13650,13350,13500,30096,406296000,0.0,8149,1745,-9894,-12514,0,529,6376,-4285,0,0,0,0
2016-11-07,13450,13600,13350,13600,23246,316145600,0.7407,2070,-1357,-743,-4841,0,2694,8880,-4285,-3191,30,0,0
2016-11-08,13500,13700,13400,13700,28391,388956700,0.7353,-5494,6603,421,-6535,0,312,6711,-29,-38,-1530,0,0
2016-11-09,13600,13750,12800,12900,115160,1485564000,-5.8394,22103,8432,-32050,-55255,617,8713,15410,0,-1535,1515,0,0
2016-11-10,13200,13600,13150,13550,51531,698245050,5.0388,-15216,7201,8333,-10354,4278,8904,5317,0,188,-336,18,0
2016-11-11,13550,13700,13250,13650,31621,431626650,0.738,-14057,4917,9004,0,503,0,297,0,8204,136,0,0
2016-11-14,13550,13700,13500,13600,4990,67864000,-0.3663,-2631,897,1794,0,0,0,1816,0,-22,-60,0,0
2016-11-15,13650,13650,13550,13650,5590,76303500,0.3676,-1004,261,742,0,0,0,525,0,217,1,0,0
2016-11-16,13650,13800,13600,13800,19999,275986200,1.0989,-8071,4856,3345,0,2650,0,0,0,695,-130,0,0
2016-11-17,13800,13850,13750,13800,2884,39799200,0.0,-327,258,69,0,0,0,-23,0,92,0,0,0
2016-11-18,13800,13900,13750,13900,9627,133815300,0.7246,-7117,2103,5013,5000,-13,-202,139,-16,105,1,0,0
2016-11-21,13900,13950,13700,13950,13584,189496800,0.3597,-8988,-949,9937,5000,581,4324,498,0,-466,0,0,0
2016-11-22,13950,13950,13750,13800,5989,82648200,-1.0753,-962,-2160,3130,0,0,0,0,0,3130,-8,0,0
2016-11-23,13850,13850,13600,13650,6595,90021750,-1.087,1568,-1138,-659,0,0,0,-193,0,-466,229,0,0
2016-11-24,13600,13700,13450,13650,11023,150463950,0.0,-458,-3366,3907,0,139,2787,1052,0,-71,-83,0,0
2016-11-25,13550,13750,13500,13750,7352,101090000,0.7326,-2976,-1542,4561,0,0,0,4912,0,-351,-43,0,0
2016-11-28,13750,13800,13600,13800,5990,82662000,0.3636,-1967,-2268,4253,0,1894,3039,0,-62,-618,0,-18,0
2016-11-29,13800,13850,13650,13800,10897,150378600,0.0,-7095,-836,8015,0,4075,0,4149,0,-209,-84,0,0
2016-11-30,13800,13950,13650,13950,41887,584323650,1.087,-27759,-3742,31501,0,15611,0,14901,0,989,0,0,0
2016-12-01,13950,14050,13800,14050,27263,383045150,0.7168,-17730,5347,13333,0,837,6621,5795,0,80,-950,0,0
2016-12-02,14050,14150,13950,14050,20988,294881400,0.0,-5799,1238,4531,-461,415,0,4491,0,86,30,0,0
2016-12-05,14050,14050,13850,13900,9496,131994400,-1.0676,-1831,-3592,5682,-461,5493,0,650,0,0,-259,0,0
2016-12-06,13900,13950,13750,13800,19703,271901400,-0.7194,-12623,64,3159,1855,417,0,802,0,85,9400,0,0
2016-12-07,13900,13950,13750,13950,13052,182075400,1.087,-4209,-2318,6528,5104,1570,0,-36,-117,7,-1,0,0
2016-12-08,13950,14050,13800,13800,20270,279726000,-1.0753,-351,4097,-3731,1293,-771,-4145,-130,-55,77,-15,0,0
2016-12-09,13800,13950,13750,13900,10243,142377700,0.7246,-200,1386,-1201,-500,1988,-2603,0,-87,1,15,0,0
2016-12-12,14050,14050,13900,14050,9313,130847650,1.0791,-3263,497,2796,2600,0,0,-357,0,553,-30,0,0
2016-12-13,14000,14100,14000,14100,18168,256168800,0.3559,-6818,3381,3483,4730,-1153,0,-76,0,-18,-46,0,0
2016-12-14,14150,14150,13850,14000,12021,168294000,-0.7092,6004,-263,-5726,566,-5574,221,0,-46,-893,0,-15,0
2016-12-15,13950,14150,13800,14100,18112,255379200,0.7143,6875,833,-7708,229,-5767,-1011,601,0,-1760,0,0,0
2016-12-16,14100,14250,14000,14200,31290,444318000,0.7092,-14385,15421,-952,0,-573,484,-1024,-21,182,-84,0,0
2016-12-19,14200,14200,13850,14150,29347,415260050,-0.3521,6228,188,1797,0,-242,0,2060,0,-21,-8213,0,0
2016-12-20,14050,14200,14000,14200,13182,187184400,0.3534,-4818,-961,5779,0,1271,442,4066,0,0,0,0,0
2016-12-21,14150,14300,14050,14050,30531,428960550,-1.0563,1567,5232,-6767,0,-2315,0,-704,0,-3748,-32,0,0
2016-12-22,14050,14200,14000,14000,9180,128520000,-0.3559,27,787,-814,0,1848,0,717,-9,-3370,0,0,0
2016-12-23,13950,14150,13950,13950,21850,304807500,-0.3571,-3813,4407,-594,0,-918,0,294,0,30,0,0,0
2016-12-26,14000,14150,13950,14100,23932,337441200,1.0753,-2181,1677,1503,0,127,0,79,0,1297,-999,0,0
2016-12-27,14100,14200,14050,14100,46311,652985100,0.0,-8384,4031,4153,0,4198,0,-70,0,25,-50,250,0
2016-12-28,13800,14050,13800,14000,25146,352044000,-0.7092,-10422,-208,10630,0,1,760,1600,0,8269,0,0,0
2016-12-29,14000,14100,13850,14050,16512,231993600,0.3571,-9345,1866,7478,3813,1826,0,764,0,1075,1,0,0
2017-01-02,14050,14100,13700,13750,9014,123942500,-2.1352,-93,-722,816,0,240,660,-264,0,180,-1,0,0
2017-01-03,13750,13900,13750,13800,15861,218881800,0.3636,-1477,5673,-4196,0,-737,0,-89,0,-3370,0,0,0
2017-01-04,13950,13950,13800,13800,18384,253699200,0.0,1447,4301,-5282,0,-1465,198,-1349,0,-2666,-466,0,0
2017-01-05,13800,13900,13750,13750,39282,540127500,-0.3623,6871,6542,-11207,-1700,-1963,-2022,-1929,0,-3593,-2093,-113,0
2017-01-06,13800,13850,13650,13850,14984,207528400,0.7273,286,2839,-3124,-2695,437,100,-940,0,-26,-1,0,0
2017-01-09,13850,13850,13550,13550,26821,363424550,-2.1661,861,7336,-7102,-3900,-4484,0,0,-92,1374,-1009,-86,0
2017-01-10,13550,13750,13350,13750,25656,352770000,1.476,1691,4384,-6114,0,-7511,63,1470,0,-136,39,0,0
2017-01-11,13750,13750,13550,13750,13091,180001250,0.0,5092,-1684,-3408,0,-3746,1200,-526,-33,-303,0,0,0
2017-01-12,13700,13900,13450,13600,43779,595394400,-1.0909,20366,12545,-32971,-27213,-1699,-2022,0,-30,-2007,60,0,0
2017-01-13,13600,13600,13350,13400,25299,339006600,-1.4706,-3135,2555,1283,0,-2117,2000,-572,0,1972,-703,0,0
2017-01-16,13400,13550,13350,13500,11597,156559500,0.7463,-4183,-1933,6117,0,6224,-13,9,0,-103,-1,0,0
2017-01-17,13500,13600,13450,13600,7860,106896000,0.7407,-1106,-583,1590,0,1215,66,-611,-11,931,99,0,0
2017-01-18,13600,13650,13400,13500,10955,147892500,-0.7353,5244,885,-6073,-6852,-33,330,431,0,51,0,-56,0
2017-01-19,13500,13550,13250,13300,13171,175174300,-1.4815,8174,-1533,-6641,-491,-6461,198,226,0,-113,0,0,0
2017-01-20,13300,13500,13250,13300,15792,210033600,0.0,-3197,2526,671,251,722,100,-225,0,-177,0,0,0
2017-01-23,13350,13450,13300,13450,3030,40753500,1.1278,-1154,124,1031,0,913,-45,171,0,-8,-1,0,0
2017-01-24,13450,13500,13300,13500,17314,233739000,0.3717,-7396,5018,2378,5156,-1629,371,480,0,-2000,0,0,0
2017-01-25,13500,13600,13400,13550,14382,194876100,0.3704,-3184,106,3079,1539,925,229,412,0,-26,-1,0,0
2017-01-26,13550,13700,13450,13600,24386,331649600,0.369,3180,1323,-4523,2874,219,0,0,0,-7616,0,20,0
2017-01-31,13600,13700,13550,13600,7199,97906400,0.0,-751,1613,-1162,0,-821,200,-515,0,-26,300,0,0
2017-02-01,13550,13650,13500,13650,19347,264086550,0.3676,3180,92,-3271,-6164,2000,0,482,0,411,-1,0,0
